,t,success_rate
0,0,0.0
1,1,0.0
2,2,0.0
3,3,0.0
4,4,0.0
5,5,0.0
6,6,0.0
7,7,0.0
8,8,0.0
9,9,0.00423728813559322
10,10,0.0038461538461538464
11,11,0.0035211267605633804
12,12,0.003246753246753247
13,13,0.0030120481927710845
14,14,0.0028089887640449437
15,15,0.002631578947368421
16,16,0.0024752475247524753
17,17,0.002336448598130841
18,18,0.0022123893805309734
19,19,0.0021008403361344537
20,20,0.002
21,21,0.0019083969465648854
22,22,0.0018248175182481751
23,23,0.0017482517482517483
24,24,0.0016778523489932886
25,25,0.0016129032258064516
26,26,0.0015527950310559005
27,27,0.0014970059880239522
28,28,0.001445086705202312
29,29,0.0013966480446927375
30,30,0.0013513513513513514
31,31,0.0013089005235602095
32,32,0.0012690355329949238
33,33,0.0012315270935960591
34,34,0.0011961722488038277
35,35,0.0011627906976744186
36,36,0.0011312217194570137
37,37,0.0011013215859030838
38,38,0.001072961373390558
39,39,0.0010460251046025104
40,40,0.0010204081632653062
41,41,0.00099601593625498
42,42,0.0009727626459143969
43,43,0.0009505703422053232
44,44,0.0009293680297397769
45,45,0.0009090909090909091
46,46,0.0008896797153024911
47,47,0.0008710801393728223
48,48,0.0008532423208191126
49,49,0.0008361204013377926
